,title,subtitle,link
31,KIL-ING IT,Kyle Walker's wife stuns in plunging crop top leaving England Wags in awe,https://www.thesun.co.uk/sport/22321373/kyle-walker-annie-kilner-england-wags/
32,THAT'S A RAP,Soccer Aid 2023 England manager CONFIRMED - and it's a massive music star,https://www.thesun.co.uk/sport/22321425/stormzy-soccer-aid-2023-england-manager/
33,ETIHAD JACKPOT,Man City poised for outrageous £300M prize money if they win historic Treble,https://www.thesun.co.uk/sport/22319219/man-city-treble-prize-premier-champions-league/
34,TAKE THE MIC,Micah Richards not happy with Inter celebrations after UCL win over AC Milan,https://www.thesun.co.uk/sport/22320806/richards-inter-ac-milan-celebrations-champions-league/
35,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
36,MILAN 0 INTER 2,Edin Dzeko and Henrikh Mkhitaryan stun rivals in derby with early double,https://www.thesun.co.uk/sport/22319351/ac-milan-inter-dzeko-mkhitaryan/
37,JOAO WOW,Fans say Felix's Wag 'should be illegal' as she strips down to bikini on beach,https://www.thesun.co.uk/sport/22312689/joao-felix-magui-corceiro-chelsea-wag-bikini-beach/
38,BRAVO ROMEO,Romeo Beckham wins trophy at Brentford but David & Cruz miss it for other game,https://www.thesun.co.uk/sport/22306385/romeo-beckham-brentford-david-cruz-champions-league/
39,ROLLS ROYST,I'm an ex-Premier League star who became an actor - I could be next James Bond,https://www.thesun.co.uk/sport/22323625/royston-drenthe-everton-real-madrid-actor-james-bond/
40,BIG SAM'S BLAST,Ex-Palace star reveals Allardyce's brutal X-rated rant in first meeting,https://www.thesun.co.uk/sport/22318021/crystal-palace-damien-delaney-sam-allardyce-xrated-rant/
41,DY HARDER,"West Ham star Bowen reveals why Danny Dyer, dad of partner Dani, is 'on my case'",https://www.thesun.co.uk/sport/22317028/jarrod-bowen-dani-dyer-danny-west-ham/
42,AGAINST THE LAUR,Laura Woods admits she'd be 'gutted' if fav Arsenal player left in summer,https://www.thesun.co.uk/sport/22313175/laura-woods-gutted-arsenal-player-summer-transfer/
43,RAT PACK,How Man Utd could line up under Ratcliffe with Kane and raid on his other club,https://www.thesun.co.uk/sport/22320536/man-utd-ratcliffe-transfer-kane-nice-raid/
44,SUITS YOU,Diallo has 'FA Cup final suit reserved' as fans ask 'Who will Ten Hag bench?',https://www.thesun.co.uk/sport/22313846/man-utd-amad-diallo-fa-cup-final-suit/
45,SHEIKH UP,Man Utd legends 'will be offered jobs if Sheikh Jassim completes takeover',https://www.thesun.co.uk/sport/22313497/man-utd-neville-scholes-jobs-sheikh-jassim-takeover/
46,TRIPP TO REMEMBER,Pochettino chucked Trippier in Spurs' ‘FAT CLUB’ after his trip to Cancun,https://www.thesun.co.uk/sport/22315282/trippier-pochettino-tottenham-fat-club/
47,READY TO RETURN,Solskjaer reveals former player will '100% be Man Utd manager one day',https://www.thesun.co.uk/sport/22313968/solskjaer-carrick-man-utd-manager/
48,CITY PICKER,Haaland's amazing 'points system' to decide next club revealed and why City won,https://www.thesun.co.uk/sport/22300105/erling-haaland-man-city-real-madrid-transfer-rankings/
49,SPECIAL ONES,How PSG may look under Mourinho with Maguire alongside Man Utd & Chelsea flops,https://www.thesun.co.uk/sport/22314778/psg-line-up-jose-mourinho-harry-maguire-transfers/
50,DOUBLE TROUBLE,Man Utd 'plan to pair Kane with Benfica's Ramos in £200m-plus transfer raid',https://www.thesun.co.uk/sport/22306944/man-utd-kane-benfica-ramos/
51,BAUM RUSH,Brighton set to pip Man Utd and Euro rivals to £26m Bundesliga star Baumgartner,https://www.thesun.co.uk/sport/22297859/brighton-beat-man-utd-baumgartner/
52,SAU ABOUT THAT,Spurs star 'offered shock Saudi Arabia transfer on TREBLE his current wages',https://www.thesun.co.uk/sport/22318718/tottenham-saudi-arabia-transfer-ronaldo-messi/
53,UNITED LATEST,"United line up De Gea replacement, Sir Jim Ratcliffe EXCLUSIVE",https://www.thesun.co.uk/sport/22225256/man-utd-transfer-news-live-takeover-updates-sir-jim-ratcliffe-bellingham-ramos/
54,ARSENAL LIVE,"Gunners 'keen' on Cancelo, £80m Declan Rice move TWIST, Saka contract latest",https://www.thesun.co.uk/sport/22225429/arsenal-transfer-news-live-declan-rice-raphinha-saka-contract-updates/
55,TRANSFER NEWS LIVE,Jude Bellingham 'ACCEPTS' Real Madrid's mega contract offer,https://www.thesun.co.uk/sport/22225576/transfer-news-live-updates-jude-bellingham-accepts-real-madrid-contract/
56,'BOX OFFICE BATTLE',Hilarious video of Rudiger and Haaland emerges as fans left in stitches,https://www.thesun.co.uk/sport/22320902/antonio-rudiger-marking-erling-haaland-real-madrid-man-city/
57,'SHODDY',Viewers beg BT Sport to be stripped of Champions League coverage after Milan derby,https://www.thesun.co.uk/sport/22319750/bt-sport-champions-league-coverage-fan-fury/
58,SKY'S THE LIMIT,Napoli fan comes up with AMAZING way to celebrate title above jubilant city,https://www.thesun.co.uk/sport/22303715/napoli-fan-flightradar-celebrate-title/
59,NO CALF MEASURES,Fans love how BT Sport zoom in on Grealish's calves during interview,https://www.thesun.co.uk/sport/22310059/fans-man-city-jack-grealish-calves-bt-sport/
60,CARR CRASH TV,Richards red-faced as Carra exposes his minimal Man City vs Madrid homework,https://www.thesun.co.uk/sport/22303999/micah-richards-real-madrid-man-city-notes-jamie-carragher/
61,DAVE KIDD,Fact this is a season of progress at Man Utd shows the shambles since Fergie left,https://www.thesun.co.uk/sport/22291401/man-utd-dave-kidd-ten-hag-season-progress/
62,HARRY REDKNAPP,"Allardyce, Warnock & Hodgson are back.. I'd love another crack as boss",https://www.thesun.co.uk/sport/22277416/allardyce-warnock-hodgson-harry-redknapp/
63,KARREN BRADY,Raise a glass to Celtic boss Postecoglou.. he can make an impact in England,https://www.thesun.co.uk/sport/22267639/ange-postecoglou-england-impact-karren-brady-column/
64,WAG THE FINGER,Stunning footie Wag risks wardrobe malfunction and Insta ban for bikini pic,https://www.thesun.co.uk/sport/22308120/jessica-goicoechea-wardrobe-malfunction-instagram-risky-pic/
65,'HOTTEST EVER',Alli’s stunning Wag Cindy Kimberly sizzles on beach in tiny white bikini,https://www.thesun.co.uk/sport/22284424/dele-alli-wag-cindy-kimberly-hot-bikini/
66,MELLOW YELLOW,Madelene Wright sends fans into meltdown posing in barely-there yellow bikini,https://www.thesun.co.uk/sport/22267049/madelene-wright-fans-meltdown-bikini/
